title,url,area,in_practice_engine
Kesh Jig – Basic,https://fiddlehed.com/courses/intermediate-fiddle-lessons/look-both-ways-before-you-cross/kesh-jig/,Intermediate course (Modules 11-19),yes
Kesh Jig – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/kesh-jig-variation/,Irish course,no
Khosid Dance,https://fiddlehed.com/courses/intermediate-fiddle-lessons/gotta-love-the-low-first/khosid-dance/,Intermediate course (Modules 11-19),no
Khosid Wedding Dance,https://fiddlehed.com/courses/intermediate-fiddle-lessons/gotta-love-the-low-first/khosid-wedding-dance/,Intermediate course (Modules 11-19),no
Kittypuss – Basic,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-7-the-power-of-the-low-second-finger/kittypuss-basic-lesson/,Beginner course (Modules 1-10),no
La Danse De Mardi Gras,https://fiddlehed.com/courses/intermediate-fiddle-lessons/gotta-love-the-low-first/la-danse-de-mardi-gras/,Intermediate course (Modules 11-19),no
La Valse Des Jonglements,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-7-adding-double-stops-to-tunes/la-valse-des-jonglements/,Intermediate course (Modules 11-19),no
La Vie En Rose,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-9-chromatic-scale/la-vie-en-rose/,Intermediate course (Modules 11-19),no
Lazy John,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/lazy-john/,Beginner course (Modules 1-10),no
"Leave Her Johnny, Leave Her",https://fiddlehed.com/community/group-lesson-home-page/practice-journey-leave-her-johnny-leave-her-2/,Community / workshop lessons,no
Lilting Banshee – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/lilting-banshee-basic/,Irish course,no
Lilting Banshee – Jig to Polka!,https://fiddlehed.com/courses/irish-fiddle-lessons/lilting-banshee-jig-to-polka/,Irish course,no
Lilting Banshee – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/lilting-banshee-variation-lesson/,Irish course,no
Little Drummer Boy,https://fiddlehed.com/holiday-songs/little-drummer-boy/,Holiday songs,no
Little Liza Jane,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/little-liza-jane/,Beginner course (Modules 1-10),yes
London Bridges,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/london-bridges/,Beginner course (Modules 1-10),no
Lonesome Fiddle Blues,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-9-chromatic-scale/lonesome-fiddle-blues/,Intermediate course (Modules 11-19),yes
